Release:
cg d1_food_normal                           ## еда с котлетой
cg epilogue_mi_5                            ## Орда Ульян-зомби
cg epilogue_mi_6                            ## Ульяна-зомби держит голову
cg epilogue_mi_7                            ## Алиса-зомби
cg epilogue_mi_8                            ## Алиса-зомби с мачете
cg epilogue_mi_9                            ## Семён целует Мику
cg epilogue_sl                              ## Славя хорошая концовка отвёрнута
cg epilogue_sl_2                            ## Славя хорошая концовка повёрнута
cg epilogue_un                              ## Алиса на скамейке
cg epilogue_un_bad                          ## Семён вскрылся
cg epilogue_un_good                         ## Семён с Леной муж-жена
cg epilogue_us                              ## Семён в полной аудитории
cg epilogue_us_3_a                          ## Семён с Ульяной в аудитории
cg epilogue_us_alone                        ## Семён один в аудитории
cg epilogue_uv                              ## Семён после Юли рут
cg epilogue_uv_2                            ## Выбор девушек
cg epilogue_uv_3                            ## не работает
cg miku_h_1_cenz                            ## Секс с Мику
cg miku_h_2_cenz                            ## Секс с Мику кричит
cg final_all_2                              ## Гаремная концовка
cg uvao_h_cenz                              ## Секс с Юлей

anim blink_down                             ## Блик верх-низ
anim blink_up                               ## Блик низ-верх
anim candle_1                               ## Свеча 1
anim candle_2                               ## Свеча 2
anim intro_1                                ## Интро
anim intro_10                               ## Вход в автобус
anim intro_11                               ## Открытые двери автобуса
anim intro_12                               ## Входит в автобус
anim intro_13                               ## автобус поехал
anim intro_14                               ## Небо из автобуса
anim intro_15                               ## Отражение зрачка
anim intro_16                               ## Дорога
anim intro_2                                ## Дома в городе
anim intro_3                                ## Семён идёт на остановку
anim intro_4                                ## Машины едут
anim intro_5                                ## Размытый Семён
anim intro_6                                ## Чёткий Семён
anim intro_7                                ## Остановка
anim intro_8                                ## Близкое лицо Семёна
anim intro_9                                ## Автобус подезжает
anim owl_1                                  ## Сова
anim owl_2                                  ## Сова
anim prolog_10                              ## Квартира Семёна
anim prolog_11                              ## Квартира Семёна
anim prolog_14                              ## Квартира Семёна
anim prolog_15                              ## Квартира Семёна
anim prolog_1                               ## Туман
anim prolog_2                               ## Туман
anim prolog_3                               ## Квартира Семёна
anim prolog_4                               ## Квартира Семёна
anim prolog_5                               ## Квартира Семёна
anim prologue_1                             ## Помехи
anim prologue_2                             ## Помехи
anim prologue_3                             ## Помехи
anim prologue_keyboard_1                    ## Комп
anim prologue_keyboard_2                    ## Комп
anim prologue_keyboard_3                    ## Комп
anim prologue_keyboard_4                    ## Комп
anim prologue_keyboard_monitor_1            ## Комп
anim prologue_keyboard_monitor_2            ## Комп
anim prologue_keyboard_monitor_3            ## Комп
anim prologue_keyboard_monitor_4            ## Комп
anim prologue_monitor_1                     ## Комп
anim prologue_monitor_2                     ## Комп
anim prologue_monitor_3                     ## Комп
anim prologue_monitor_4                     ## Комп
anim snow                                   ## Не работает
anim stars_1                                ## Звёзды
anim stars_3                                ## Звёзды

soviet_games                                ## Лого советов

disclaimer                                  ## Игра является плодом...

splashscreen_day                            ## Дорога день
logo_day                                    ## Лого день
splashscreen_night                          ## Дорога ночь
logo_night                                  ## Лого ночь
splashscreen_sunset                         ## Дорога закат
logo_sunset                                 ## Лого закат

achievement                                 ## Ачивка (Вы дождались эроге)
achievement3                                ## Ачивка (Хентай мастер)

dv_bad                                      ## Ачивка (Лидер митол-группы)
dv_good                                     ## Ачивка (Гуру пикапа)
un_bad                                      ## Ачивка (Вскрываеся)
un_good                                     ## Ачивка (Всё как у людей)
sl_bad                                      ## Ачивка(Успешный превозмогатель)
sl_good                                     ## Ачивка (Тёплая ламповость)
us_bad                                      ## Ачивка (ICQ выше среднего)
us_good                                     ## Ачивка (Гроза педобиров)
main_bad                                    ## Ачивка (Эпик фейл)
main_good                                   ## Ачивка (Титан одиночества)
mi                                          ## Ачивка (What is it, i don't even)
uv_city                                     ## Ачивка (Гарем мастер 80 лвл)
uv_unknown_fucken_shit                      ## не работает

op_back                                     ## в лиазе
op_sl                                       ## Славя
op_un                                       ## Лена
op_us                                       ## Ульяна
op_dv                                       ## Алиса
op_mi                                       ## Мику
op_uv1                                      ## Юля
op_uv2                                      ## Юля
op_uv3                                      ## Юля

backdrop_text                               ## не работает

Extra:(Не работают)
image cg d1_rowrow
image cg d1_uvao_bus
image cg d3_fag_room
image cg d3_potato_1
image cg d3_potato_2
image cg d7_un_hentai_2
image cg epilogue_mi_hentai_1
image cg epilogue_mi_hentai_2
image cg epilogue_mi_hentai_3
image cg epilogue_us_1
image cg epilogue_us_4
image cg wtf_end_of_day
