Release:
bg bus_stop                                             ## Автобусная остановка зима
bg int_house_of_mt_noitem_night 						## В доме Ольги со светом без фонаря ночь 
bg int_house_of_mt_sunset 								## В доме Ольги закат
bg int_house_of_sl_day 									## В доме Слави день
bg int_house_of_un_day 									## В доме Лены день
bg int_house_of_un_night 								## В доме Лены ночь
bg int_liaz 											## В Лиазе ночь
bg int_library_day 										## В библиотеке день
bg int_library_night 									## В библиотеке без света ночь
bg int_library_night2 									## В библиотеке со светом ночь
bg int_mine 											## Шахта
bg int_mine_coalface 									## Пещера
bg int_mine_crossroad 									## Развилка в шахте
bg int_mine_door 										## Дверь в шахте
bg int_mine_exit_night_light 							## Выход к площади из шахты со светом ночь
bg int_mine_exit_night_nolight 							## Выход к площади из шахты без света ночь
bg int_mine_exit_night_torch 							## Выход к площади из шахты с факелом ночь
bg int_mine_halt 										## Поворот направо в шахте
bg int_mine_room 										## Комната в шахте
bg int_mine_room_red 									## Комната в шахте в красном
bg int_musclub_day 										## В музклубе день
bg int_old_building_night 								## В заброшенном лагере ночь
bg intro_xx 											## Семён едет в Совёнок
bg semen_room 											## Комната Семёна
bg semen_room_window 									## Окно квартиры

Extra:
bg ext_aidpost_sunset 			## Не работает
bg ext_boathouse_sunset 		## Не работает
bg ext_camp_entrance_sunset 	## Не работает
bg ext_clubs_sunset 			## Не работает
bg ext_house_of_el_day 			## Не работает
bg ext_library_sunset 			## Библиотека закат
bg ext_playground_sunset 		## Не работает
bg ext_stage_big_day 			## Вся сцена день
bg int_house_of_mt_noitem_day 	## Не работает
bg int_mine_exit 				## Не работает

bg ext_bus_driver 					## Не работает
bg ext_house_of_el_night 			## Не работает
bg ext_path_night_2009 				## Не работает

bg ext_square_winterday		 	## Не работает
bg ext_square_winterday_ex 		## Не работает
bg ext_square_winternight 		## Не работает
